id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,win_by_runs_capped,win_by_wickets_capped,toss_match_win,win_margin_cat,match_year,match_month,is_big_win,win_by_runs_norm,win_by_wickets_norm,win_by_runs_std,win_by_wickets_std
486,IPL-2014,Cuttack,2014-07-05,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings XI Punjab,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,44.0,0,0,Medium,2014.0,7.0,0,0.3013698630136986,0.0,1.3042163621307994,-0.9948286507525228
487,IPL-2014,Ahmedabad,2014-08-05,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,32.0,0,0,Medium,2014.0,8.0,0,0.2191780821917808,0.0,0.7935312778702625,-0.9948286507525228
488,IPL-2014,Bangalore,2014-09-05,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,32.0,0,0,Medium,2014.0,9.0,0,0.2191780821917808,0.0,0.7935312778702625,-0.9948286507525228
489,IPL-2014,Delhi,2014-10-05,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,0.0,8,1,Large,2014.0,10.0,0,0.0,0.8,-0.5682956134911693,1.3679384881843808
490,IPL-2014,Mumbai,2014-10-05,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,0.0,4,1,Medium,2014.0,10.0,0,0.0,0.4,-0.5682956134911693,0.18655491871592902
491,IPL-2014,Cuttack,2014-11-05,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,0.0,9,1,Large,2014.0,11.0,0,0.0,0.9,-0.5682956134911693,1.6632843805514939
492,IPL-2014,Bangalore,2014-11-05,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,0.0,5,0,Medium,2014.0,11.0,0,0.0,0.5,-0.5682956134911693,0.481900811083042
493,IPL-2014,Hyderabad,2014-12-05,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,0.0,7,0,Large,2014.0,12.0,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
494,IPL-2014,Ranchi,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,0.0,5,0,Medium,,,0,0.0,0.5,-0.5682956134911693,0.481900811083042
495,IPL-2014,Bangalore,,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,16.0,0,0,Small,,,0,0.1095890410958904,0.0,0.11261783218954659,-0.9948286507525228
